Airline,Source,Destination,Total_Stops,Day_of_Journey,Month_of_Journey,Dep_hour,Dep_min,Duration_hours,Duration_mins,Arrival_hour,Arrival_min,Price
IndiGo,Banglore,New_Delhi,0,24,3,22,20,2,50,1,10,4377
IndiGo,Banglore,Delhi,0,18,6,21,15,3,0,0,15,3943
Air Asia,Banglore,Delhi,0,3,4,23,55,2,50,2,45,4483
Jet Airways,Kolkata,Banglore,1,24,3,19,45,16,15,12,0,14231
Air India,Banglore,New_Delhi,2,1,3,8,50,15,5,23,55,17345
Vistara,Chennai,Kolkata,0,6,3,7,5,2,15,9,20,7414
Multiple carriers,Delhi,Cochin,1,6,5,19,0,6,30,1,30,8073
Vistara,Mumbai,Hyderabad,1,6,3,15,40,25,5,16,45,12395
Air India,Kolkata,Banglore,1,6,6,9,25,12,25,21,50,8366
Air India,Delhi,Cochin,1,3,4,6,5,27,20,9,25,5117
Multiple carriers,Delhi,Cochin,1,3,6,8,45,10,15,19,0,12524
IndiGo,Delhi,Cochin,1,15,5,15,0,10,30,1,30,7191
Vistara,Chennai,Kolkata,0,24,5,7,5,2,15,9,20,3687
IndiGo,Delhi,Cochin,1,24,6,10,35,10,25,21,0,5894
Vistara,Banglore,Delhi,0,24,4,9,45,2,50,12,35,5403
Air India,Mumbai,Hyderabad,0,6,5,13,55,1,30,15,25,3625
Air India,Delhi,Cochin,2,21,5,5,55,13,20,19,15,10861
IndiGo,Chennai,Kolkata,0,12,3,13,20,2,15,15,35,6297
Jet Airways,Mumbai,Hyderabad,0,1,6,7,5,1,25,8,30,5678
Jet Airways,Banglore,New_Delhi,1,9,3,5,45,26,30,8,15,9134
Multiple carriers,Delhi,Cochin,1,24,6,11,40,7,20,19,0,10791
Jet Airways,Delhi,Cochin,2,24,6,23,5,13,30,12,35,12819
IndiGo,Delhi,Cochin,1,21,3,5,5,5,0,10,5,6893
Vistara,Banglore,New_Delhi,0,9,3,9,50,2,45,12,35,7240
GoAir,Banglore,Delhi,0,3,4,11,40,2,50,14,30,3898
IndiGo,Mumbai,Hyderabad,0,3,4,6,25,1,30,7,55,4049
Jet Airways,Delhi,Cochin,1,15,6,17,30,19,5,12,35,10262
SpiceJet,Chennai,Kolkata,0,21,3,8,20,2,15,10,35,3332
Jet Airways,Kolkata,Banglore,1,9,6,21,10,14,50,12,0,10844
Jet Airways,Banglore,New_Delhi,0,24,3,19,55,2,40,22,35,7229
Jet Airways,Kolkata,Banglore,1,6,5,6,30,22,10,4,40,13941
IndiGo,Delhi,Cochin,1,27,6,11,25,9,35,21,0,5894
Multiple carriers,Delhi,Cochin,1,18,5,9,0,10,0,19,0,10197
Jet Airways,Banglore,New_Delhi,1,6,3,14,5,21,20,11,25,13712
IndiGo,Delhi,Cochin,1,24,6,2,0,5,25,7,25,5636
Jet Airways,Delhi,Cochin,2,6,6,9,40,18,45,4,25,13014
Jet Airways,Kolkata,Banglore,1,1,4,8,25,12,20,20,45,7064
Jet Airways,Kolkata,Banglore,1,24,5,20,25,18,0,14,25,10703
Multiple carriers,Delhi,Cochin,1,27,5,13,15,9,15,22,30,9646
Multiple carriers,Delhi,Cochin,1,6,3,2,15,11,5,13,20,17057
Jet Airways,Banglore,New_Delhi,1,12,3,16,55,17,30,10,25,13817
Air India,Delhi,Cochin,2,6,3,5,55,13,20,19,15,13748
Air India,Kolkata,Banglore,0,21,4,20,45,2,35,23,20,4880
IndiGo,Chennai,Kolkata,0,21,6,5,15,2,25,7,40,3540
SpiceJet,Banglore,Delhi,0,15,5,5,55,2,40,8,35,3257
Jet Airways,Banglore,Delhi,0,3,6,19,50,3,0,22,50,6478
Jet Airways,Mumbai,Hyderabad,0,18,6,7,5,1,25,8,30,8040
Jet Airways,Delhi,Cochin,2,12,6,20,0,16,35,12,35,14300
Jet Airways,Kolkata,Banglore,1,15,5,8,25,12,20,20,45,14781
Jet Airways,Kolkata,Banglore,1,9,6,20,0,12,15,8,15,14939
Jet Airways,Delhi,Cochin,1,24,6,20,55,7,30,4,25,10262
Air India,Kolkata,Banglore,1,12,5,14,35,24,0,14,35,6528
Air India,Banglore,Delhi,0,1,5,6,10,2,45,8,55,6121
Jet Airways,Delhi,Cochin,2,18,5,19,30,8,55,4,25,13029
Multiple carriers,Delhi,Cochin,1,27,3,11,40,7,10,18,50,11421
Multiple carriers,Delhi,Cochin,1,27,3,4,45,14,30,19,15,7574
Air India,Delhi,Cochin,2,9,5,12,55,30,20,19,15,11596
Jet Airways,Delhi,Cochin,2,24,5,23,5,19,55,19,0,15129
Jet Airways,Banglore,New_Delhi,1,18,3,14,5,15,0,5,5,13555
IndiGo,Banglore,Delhi,0,12,4,18,55,2,55,21,50,5780
Vistara,Kolkata,Banglore,1,12,5,20,20,12,45,9,5,9397
Jet Airways,Delhi,Cochin,1,6,3,18,15,10,10,4,25,17024
GoAir,Delhi,Cochin,1,27,6,7,0,5,55,12,55,5281
Multiple carriers,Delhi,Cochin,1,18,5,7,5,15,25,22,30,10348
Air India,Delhi,Cochin,1,6,3,17,20,16,5,9,25,12677
Multiple carriers,Delhi,Cochin,1,3,3,15,25,10,10,1,35,15147
Vistara,Banglore,Delhi,0,12,6,7,0,2,40,9,40,4668
Jet Airways,Delhi,Cochin,1,9,5,7,5,11,55,19,0,15554
SpiceJet,Banglore,Delhi,0,9,4,5,55,2,40,8,35,3971
Air India,Mumbai,Hyderabad,0,3,5,15,0,1,25,16,25,3100
Jet Airways,Kolkata,Banglore,1,6,5,20,0,14,5,10,5,9663
Air India,Delhi,Cochin,1,1,3,23,0,20,15,19,15,27430
IndiGo,Chennai,Kolkata,0,12,5,5,15,2,25,7,40,3540
Air India,Kolkata,Banglore,2,21,5,12,0,23,10,11,10,10676
Jet Airways,Kolkata,Banglore,1,12,6,14,5,18,10,8,15,13044
Jet Airways,Kolkata,Banglore,1,6,5,20,0,16,0,12,0,14388
IndiGo,Banglore,Delhi,0,24,6,4,0,2,50,6,50,3943
IndiGo,Chennai,Kolkata,0,3,6,14,45,2,20,17,5,3597
Air India,Banglore,New_Delhi,1,21,3,11,50,8,0,19,50,5932
Jet Airways,Delhi,Cochin,1,15,6,11,30,16,55,4,25,10262
Vistara,Delhi,Cochin,0,12,5,14,40,3,10,17,50,6216
IndiGo,Kolkata,Banglore,0,15,6,20,25,2,45,23,10,4804
Multiple carriers,Delhi,Cochin,1,21,5,11,30,14,0,1,30,14067
Jet Airways,Delhi,Cochin,2,18,5,19,10,23,50,19,0,15129
Jet Airways,Delhi,Cochin,2,6,6,6,45,21,40,4,25,13376
Air India,Delhi,Cochin,2,27,6,22,0,21,15,19,15,10441
Jet Airways,Banglore,Delhi,0,24,5,6,0,2,45,8,45,4030
Jet Airways,Delhi,Cochin,1,3,3,8,0,10,50,18,50,17024
Multiple carriers,Delhi,Cochin,1,9,4,17,30,8,0,1,30,13017
GoAir,Kolkata,Banglore,1,6,6,23,30,8,15,7,45,6686
IndiGo,Delhi,Cochin,1,15,6,2,0,5,25,7,25,5636
IndiGo,Delhi,Cochin,1,9,6,7,35,8,35,16,10,6442
Multiple carriers,Delhi,Cochin,1,21,5,13,5,11,50,0,55,9486
Jet Airways,Kolkata,Banglore,1,21,5,20,0,27,35,23,35,10844
Jet Airways,Delhi,Cochin,2,3,6,20,0,8,25,4,25,15318
Air India,Delhi,Cochin,1,3,4,12,30,20,55,9,25,5117
IndiGo,Delhi,Cochin,1,24,6,15,10,4,50,20,0,6147
Multiple carriers,Delhi,Cochin,1,9,6,12,50,8,10,21,0,7005
SpiceJet,Kolkata,Banglore,0,3,4,22,20,2,20,0,40,3873
Jet Airways,Delhi,Cochin,2,21,3,18,25,24,25,18,50,9270
GoAir,Banglore,Delhi,0,27,6,11,40,2,50,14,30,3898
Jet Airways,Kolkata,Banglore,1,12,5,8,25,12,20,20,45,14781
Jet Airways,Kolkata,Banglore,1,24,5,20,0,12,15,8,15,8586
Air India,Kolkata,Banglore,2,9,5,8,20,23,35,7,55,10697
Jet Airways,Delhi,Cochin,2,27,6,20,0,16,35,12,35,14300
IndiGo,Banglore,New_Delhi,0,3,3,18,55,2,50,21,45,8855
Jet Airways,Kolkata,Banglore,1,12,5,16,30,25,45,18,15,10844
Jet Airways,Delhi,Cochin,1,6,3,2,15,26,10,4,25,17024
Jet Airways,Kolkata,Banglore,1,1,5,9,35,28,50,14,25,9314
IndiGo,Banglore,New_Delhi,0,24,3,0,40,2,45,3,25,4777
Air India,Kolkata,Banglore,1,9,6,12,0,25,15,13,15,7662
IndiGo,Delhi,Cochin,1,9,5,6,50,9,20,16,10,6442
SpiceJet,Delhi,Cochin,1,12,6,8,45,4,30,13,15,5264
Jet Airways,Delhi,Cochin,1,27,5,13,0,15,25,4,25,12898
Air India,Mumbai,Hyderabad,0,3,3,13,55,1,30,15,25,6092
SpiceJet,Banglore,Delhi,0,21,5,5,55,2,40,8,35,3311
Jet Airways,Delhi,Cochin,1,27,3,19,15,9,10,4,25,6540
IndiGo,Banglore,Delhi,0,27,5,1,30,2,45,4,15,3419
Jet Airways,Delhi,Cochin,1,3,4,14,0,22,35,12,35,5177
Air India,Delhi,Cochin,0,18,4,18,5,3,5,21,10,8246
Jet Airways,Kolkata,Banglore,1,9,6,9,35,11,30,21,5,14676
Multiple carriers,Delhi,Cochin,1,27,6,11,30,9,30,21,0,13587
Jet Airways,Kolkata,Banglore,1,6,5,21,10,12,10,9,20,9663
Jet Airways,Kolkata,Banglore,1,12,6,16,30,17,35,10,5,13044
IndiGo,Delhi,Cochin,1,3,4,20,25,5,5,1,30,5073
Vistara,Kolkata,Banglore,1,21,5,17,0,25,50,18,50,9345
Jet Airways,Kolkata,Banglore,1,6,5,14,5,20,0,10,5,9663
Multiple carriers,Delhi,Cochin,1,21,5,8,0,13,0,21,0,14277
Jet Airways,Delhi,Cochin,1,1,6,10,0,18,25,4,25,10262
Jet Airways,Mumbai,Hyderabad,0,27,3,19,35,1,30,21,5,5678
Multiple carriers,Delhi,Cochin,1,15,5,16,0,9,30,1,30,13727
Jet Airways,Kolkata,Banglore,1,6,5,20,0,16,0,12,0,9663
IndiGo,Chennai,Kolkata,0,12,5,14,45,2,20,17,5,3858
SpiceJet,Delhi,Cochin,1,24,6,8,45,4,30,13,15,4812
IndiGo,Delhi,Cochin,1,27,6,21,50,5,45,3,35,5775
Jet Airways,Kolkata,Banglore,1,6,6,9,35,24,10,9,45,10539
IndiGo,Kolkata,Banglore,0,3,6,15,30,2,35,18,5,4804
Air Asia,Banglore,Delhi,0,12,6,11,10,2,45,13,55,3383
IndiGo,Banglore,New_Delhi,1,3,3,12,10,4,55,17,5,8738
Air India,Delhi,Cochin,1,27,3,5,15,25,35,6,50,7165
IndiGo,Delhi,Cochin,1,24,6,16,10,6,20,22,30,6412
Jet Airways,Banglore,Delhi,0,27,6,18,55,3,5,22,0,8016
Jet Airways,Banglore,New_Delhi,1,12,3,20,35,18,40,15,15,11087
SpiceJet,Chennai,Kolkata,0,27,6,9,45,2,15,12,0,3543
Jet Airways,Kolkata,Banglore,1,12,6,16,30,12,10,4,40,12471
Jet Airways,Delhi,Cochin,1,24,6,9,0,19,25,4,25,10262
Air India,Banglore,New_Delhi,0,18,3,13,20,2,50,16,10,4441
Multiple carriers,Delhi,Cochin,1,27,3,7,5,8,25,15,30,12537
GoAir,Kolkata,Banglore,1,24,3,22,25,9,15,7,40,10091
Air India,Banglore,Delhi,0,3,6,21,5,2,50,23,55,6961
IndiGo,Delhi,Cochin,0,24,4,5,35,3,15,8,50,5013
Air India,Delhi,Cochin,0,18,5,5,10,2,50,8,0,6934
Multiple carriers,Delhi,Cochin,1,3,6,6,40,12,20,19,0,10877
Jet Airways,Banglore,Delhi,0,18,4,15,15,2,55,18,10,7229
IndiGo,Delhi,Cochin,1,27,3,16,0,9,35,1,35,7048
Vistara,Banglore,Delhi,0,27,6,17,0,2,35,19,35,4878
Jet Airways,Kolkata,Banglore,1,21,5,14,5,9,30,23,35,10844
Jet Airways,Delhi,Cochin,2,18,5,23,5,29,20,4,25,15129
IndiGo,Banglore,Delhi,0,12,5,0,30,2,55,3,25,3943
SpiceJet,Delhi,Cochin,1,6,6,6,5,5,15,11,20,5583
Multiple carriers,Delhi,Cochin,1,6,6,7,5,9,5,16,10,9646
Multiple carriers,Delhi,Cochin,1,3,6,8,30,10,45,19,15,7677
IndiGo,Delhi,Cochin,1,1,6,5,10,4,55,10,5,6842
Jet Airways,Mumbai,Hyderabad,0,24,6,8,45,1,30,10,15,4995
Vistara,Kolkata,Banglore,1,9,6,7,10,11,40,18,50,9555
IndiGo,Banglore,Delhi,0,1,6,1,30,2,45,4,15,4077
Jet Airways,Banglore,Delhi,0,12,5,15,15,2,55,18,10,7229
Multiple carriers,Delhi,Cochin,1,9,6,9,0,10,0,19,0,12192
Air India,Banglore,Delhi,0,12,4,10,0,2,45,12,45,5911
Air India,Delhi,Cochin,1,12,6,9,0,10,15,19,15,8372
Jet Airways,Mumbai,Hyderabad,0,18,3,7,10,1,25,8,35,4995
Multiple carriers,Delhi,Cochin,1,9,5,10,0,9,15,19,15,14323
Jet Airways,Delhi,Cochin,2,9,6,5,30,22,55,4,25,13014
Air India,Delhi,Cochin,2,6,6,14,25,28,50,19,15,13591
Jet Airways,Delhi,Cochin,2,3,3,5,25,37,25,18,50,18799
IndiGo,Banglore,Delhi,0,27,4,23,30,2,50,2,20,3943
SpiceJet,Mumbai,Hyderabad,0,21,5,5,45,1,30,7,15,1965
Jet Airways,Mumbai,Hyderabad,0,27,5,10,20,1,30,11,50,4995
Air India,Kolkata,Banglore,1,24,3,16,50,25,40,18,30,14641
Air India,Kolkata,Banglore,0,12,4,20,45,2,35,23,20,4460
Air India,Delhi,Cochin,1,18,5,13,0,6,15,19,15,10191
Jet Airways,Delhi,Cochin,1,9,3,2,15,17,30,19,45,13843
IndiGo,Delhi,Cochin,1,1,5,21,50,5,45,3,35,6349
Air Asia,Kolkata,Banglore,0,1,5,10,20,2,35,12,55,4409
Jet Airways,Delhi,Cochin,1,6,3,18,15,25,30,19,45,17024
Multiple carriers,Delhi,Cochin,1,18,5,7,5,13,55,21,0,13727
IndiGo,Banglore,New_Delhi,0,15,3,18,25,2,55,21,20,8855
Multiple carriers,Delhi,Cochin,1,24,6,8,45,10,15,19,0,12524
Jet Airways,Banglore,New_Delhi,1,18,3,11,40,8,40,20,20,13555
Jet Airways,Kolkata,Banglore,1,6,6,6,30,5,30,12,0,10844
Multiple carriers,Delhi,Cochin,1,9,6,9,0,12,0,21,0,13587
SpiceJet,Chennai,Kolkata,0,12,6,9,45,2,15,12,0,3543
Vistara,Chennai,Kolkata,0,18,3,7,5,2,15,9,20,4842
IndiGo,Banglore,Delhi,0,24,4,23,30,2,50,2,20,3943
Jet Airways,Delhi,Cochin,1,9,6,19,15,9,10,4,25,10577
IndiGo,Delhi,Cochin,1,15,5,10,35,10,25,21,0,6979
Vistara,Chennai,Kolkata,0,27,6,17,45,2,20,20,5,11982
SpiceJet,Delhi,Cochin,1,6,6,8,45,4,30,13,15,5264
Vistara,Delhi,Cochin,0,3,3,6,0,3,10,9,10,8001
Air India,Delhi,Cochin,2,1,6,19,45,23,30,19,15,10651
Jet Airways,Kolkata,Banglore,1,24,5,16,30,27,20,19,50,10844
Multiple carriers,Delhi,Cochin,1,27,3,9,45,12,35,22,20,6601
Air India,Delhi,Cochin,1,21,3,19,0,24,15,19,15,6587
SpiceJet,Mumbai,Hyderabad,0,21,3,13,10,1,20,14,30,3173
Air India,Banglore,Delhi,0,9,5,10,0,2,45,12,45,5228
Jet Airways,Banglore,Delhi,0,21,6,7,10,3,0,10,10,5769
Jet Airways,Delhi,Cochin,1,6,6,8,0,11,0,19,0,14714
Jet Airways,Delhi,Cochin,2,3,6,5,30,13,30,19,0,13014
IndiGo,Banglore,Delhi,0,3,6,22,10,2,50,1,0,3359
GoAir,Banglore,New_Delhi,0,3,3,20,55,2,55,23,50,6722
IndiGo,Kolkata,Banglore,0,18,3,9,35,2,45,12,20,4462
IndiGo,Delhi,Cochin,1,9,3,4,55,11,15,16,10,6171
Air India,Kolkata,Banglore,2,21,5,5,50,14,35,20,25,12303
Multiple carriers,Delhi,Cochin,1,21,3,11,40,13,55,1,35,7695
IndiGo,Delhi,Cochin,1,24,6,11,25,14,5,1,30,5684
Air India,Kolkata,Banglore,1,12,6,16,50,15,5,7,55,8366
Air India,Chennai,Kolkata,0,1,3,11,40,2,15,13,55,19630
Jet Airways,Banglore,New_Delhi,1,6,3,14,5,15,0,5,5,13502
Jet Airways,Kolkata,Banglore,1,1,5,21,10,12,55,10,5,14781
Multiple carriers,Delhi,Cochin,1,12,6,7,10,9,0,16,10,6513
Air India,Delhi,Cochin,1,1,6,7,0,12,15,19,15,9929
Multiple carriers,Delhi,Cochin,2,6,6,17,50,7,40,1,30,18275
Air India,Delhi,Cochin,1,9,4,6,5,27,20,9,25,4487
IndiGo,Mumbai,Hyderabad,0,15,3,21,20,1,25,22,45,2754
Air India,Mumbai,Hyderabad,0,27,3,6,20,1,20,7,40,2575
SpiceJet,Kolkata,Banglore,1,12,6,15,55,5,30,21,25,8224
Air India,Delhi,Cochin,1,9,3,20,30,11,45,8,15,8991
IndiGo,Delhi,Cochin,0,24,6,5,35,3,15,8,50,5000
Jet Airways,Kolkata,Banglore,1,12,6,18,55,24,55,19,50,8529
Air India,Delhi,Cochin,1,3,3,6,5,27,20,9,25,14042
Jet Airways,Banglore,Delhi,0,24,5,11,10,2,55,14,5,4030
Jet Airways,Kolkata,Banglore,1,6,6,18,55,17,5,12,0,10844
IndiGo,Kolkata,Banglore,0,6,5,21,25,2,40,0,5,4804
Multiple carriers,Delhi,Cochin,1,27,5,17,30,8,0,1,30,7308
IndiGo,Banglore,Delhi,0,12,5,16,55,3,0,19,55,4823
Jet Airways,Delhi,Cochin,1,24,6,9,0,27,35,12,35,10262
Jet Airways,Delhi,Cochin,1,27,5,20,55,7,30,4,25,12898
Air India,Banglore,New_Delhi,2,12,3,17,25,22,55,16,20,12778
IndiGo,Delhi,Cochin,1,3,3,4,45,8,35,13,20,14871
Air India,Delhi,Cochin,2,21,3,13,20,29,55,19,15,8708
Jet Airways,Kolkata,Banglore,1,6,6,20,0,22,15,18,15,10844
SpiceJet,Mumbai,Hyderabad,0,6,3,5,45,1,20,7,5,4129
IndiGo,Kolkata,Banglore,0,18,5,21,25,2,40,0,5,4804
Jet Airways,Banglore,Delhi,0,6,5,8,20,3,0,11,20,7229
Jet Airways,Banglore,New_Delhi,1,21,3,7,0,12,10,19,10,7832
SpiceJet,Chennai,Kolkata,0,18,3,9,30,2,35,12,5,3859
Multiple carriers,Delhi,Cochin,1,6,6,7,30,11,45,19,15,9001
Vistara,Banglore,Delhi,0,9,5,17,0,2,35,19,35,4878
IndiGo,Mumbai,Hyderabad,0,3,5,2,35,1,30,4,5,2754
Vistara,Banglore,Delhi,0,27,6,7,0,2,40,9,40,4668
Air Asia,Kolkata,Banglore,0,12,5,10,20,2,35,12,55,5216
Jet Airways,Delhi,Cochin,2,6,6,5,30,22,55,4,25,10368
IndiGo,Delhi,Cochin,2,9,3,6,40,14,40,21,20,8146
Jet Airways,Delhi,Cochin,1,27,3,13,0,15,25,4,25,12242
Jet Airways,Banglore,New_Delhi,1,15,3,8,0,7,15,15,15,9134
Air India,Delhi,Cochin,2,6,6,13,15,20,10,9,25,10939
Air India,Delhi,Cochin,2,6,6,10,55,20,45,7,40,11753
SpiceJet,Kolkata,Banglore,0,24,4,17,10,2,30,19,40,4174
Jet Airways,Kolkata,Banglore,1,21,5,20,0,23,50,19,50,10844
Jet Airways,Delhi,Cochin,1,3,6,16,0,27,0,19,0,14714
Jet Airways,Kolkata,Banglore,1,12,6,6,30,5,30,12,0,9899
IndiGo,Delhi,Cochin,1,3,3,9,10,11,50,21,0,14871
IndiGo,Chennai,Kolkata,0,6,3,13,20,2,15,15,35,7295
Air India,Delhi,Cochin,2,6,6,18,45,24,30,19,15,13465
SpiceJet,Chennai,Kolkata,0,21,5,17,45,2,20,20,5,3543
Multiple carriers,Delhi,Cochin,1,27,6,19,0,6,30,1,30,7198
Jet Airways,Delhi,Cochin,1,1,6,8,0,20,25,4,25,10262
IndiGo,Kolkata,Banglore,0,15,3,15,20,2,35,17,55,4148
Jet Airways,Banglore,Delhi,0,27,6,15,15,2,55,18,10,8016
Jet Airways,Delhi,Cochin,1,9,6,22,50,5,35,4,25,10262
SpiceJet,Kolkata,Banglore,0,15,6,14,55,2,30,17,25,3841
Jet Airways,Banglore,New_Delhi,1,12,3,9,45,14,45,0,30,11507
Jet Airways,Kolkata,Banglore,1,1,5,8,25,12,20,20,45,14781
Jet Airways,Delhi,Cochin,1,27,5,17,30,25,30,19,0,16079
Jet Airways,Delhi,Cochin,1,27,5,22,50,5,35,4,25,12898
Multiple carriers,Delhi,Cochin,1,6,3,7,30,11,45,19,15,15353
IndiGo,Banglore,New_Delhi,0,24,3,18,25,2,55,21,20,7303
SpiceJet,Kolkata,Banglore,1,24,3,15,5,5,40,20,45,6197
Air India,Kolkata,Banglore,1,9,6,9,10,4,5,13,15,8996
IndiGo,Delhi,Cochin,1,21,3,14,20,8,0,22,20,6528
GoAir,Banglore,Delhi,0,9,4,20,55,2,45,23,40,4239
IndiGo,Kolkata,Banglore,0,12,3,20,25,2,40,23,5,4148
SpiceJet,Banglore,Delhi,0,24,5,21,10,2,55,0,5,3971
Air Asia,Kolkata,Banglore,1,6,5,7,35,15,55,23,30,5192
Jet Airways,Delhi,Cochin,2,9,4,13,25,23,10,12,35,9483
Jet Airways,Delhi,Cochin,2,3,6,11,40,7,20,19,0,18804
Air India,Delhi,Cochin,0,18,6,5,10,2,50,8,0,5201
Jet Airways,Delhi,Cochin,1,27,5,11,30,7,30,19,0,16079
Jet Airways,Banglore,Delhi,0,15,6,19,50,3,0,22,50,7229
Multiple carriers,Delhi,Cochin,1,27,5,17,45,7,45,1,30,6795
Jet Airways,Kolkata,Banglore,1,9,5,9,35,25,20,10,55,10953
Multiple carriers,Delhi,Cochin,2,24,6,15,5,10,25,1,30,15965
Air India,Delhi,Cochin,2,9,4,12,55,30,20,19,15,9968
IndiGo,Kolkata,Banglore,0,6,6,22,15,2,35,0,50,4804
Jet Airways,Delhi,Cochin,1,27,5,10,0,9,0,19,0,16079
Jet Airways,Delhi,Cochin,2,12,6,21,25,15,10,12,35,11507
Air India,Kolkata,Banglore,2,9,6,9,25,28,20,13,45,11542
Jet Airways,Banglore,Delhi,0,24,4,17,45,3,0,20,45,7229
Jet Airways,Banglore,Delhi,0,27,4,6,0,2,45,8,45,4544
IndiGo,Delhi,Cochin,1,15,5,5,10,4,55,10,5,6496
IndiGo,Kolkata,Banglore,0,15,6,21,25,2,40,0,5,4804
Air India,Banglore,New_Delhi,1,1,3,11,5,22,10,9,15,13439
Jet Airways,Delhi,Cochin,1,27,3,18,15,10,10,4,25,6540
IndiGo,Banglore,Delhi,0,1,6,23,30,2,50,2,20,4591
IndiGo,Banglore,New_Delhi,1,18,3,16,15,4,20,20,35,4437
Air Asia,Delhi,Cochin,1,21,3,20,10,11,0,7,10,6151
Jet Airways,Banglore,Delhi,0,21,6,17,45,3,0,20,45,7754
Jet Airways,Delhi,Cochin,1,24,6,14,0,22,35,12,35,10262
Jet Airways,Banglore,Delhi,0,9,6,18,55,3,5,22,0,8016
SpiceJet,Kolkata,Banglore,0,24,3,6,55,2,40,9,35,4781
Vistara,Banglore,Delhi,0,27,6,11,30,2,50,14,20,4668
Air India,Banglore,New_Delhi,1,6,3,11,50,21,5,8,55,14594
Jet Airways,Kolkata,Banglore,1,24,3,16,55,11,50,4,45,14231
Air India,Delhi,Cochin,1,15,5,5,15,25,35,6,50,8425
